id,country,year,gdp_growth,employment_thousands,sector
90,South Africa,2011,3.168556278588184,4338.06591796875,Other services
91,South Africa,2003,2.94907546754213,11830.1220703125,Total
92,South Africa,2003,2.94907546754213,1171.998,Agriculture
93,South Africa,2003,2.94907546754213,651.495,Mining
94,South Africa,2003,2.94907546754213,1844.561,Manufacturing
95,South Africa,2003,2.94907546754213,103.812,Utilities
96,South Africa,2003,2.94907546754213,708.802,Construction
97,South Africa,2003,2.94907546754213,2818.561767578125,Trade services
98,South Africa,2003,2.94907546754213,660.563,Transport services
99,South Africa,2003,2.94907546754213,1265.8519287109375,Finance and business services
100,South Africa,2003,2.94907546754213,2604.47705078125,Other services
101,South Africa,2000,4.2000000006782585,11884.9345703125,Total
102,South Africa,2000,4.2000000006782585,1179.646,Agriculture
103,South Africa,2000,4.2000000006782585,626.365,Mining
104,South Africa,2000,4.2000000006782585,1787.116,Manufacturing
105,South Africa,2000,4.2000000006782585,105.229,Utilities
106,South Africa,2000,4.2000000006782585,720.374,Construction
107,South Africa,2000,4.2000000006782585,2887.2158203125,Trade services
108,South Africa,2000,4.2000000006782585,661.754,Transport services
109,South Africa,2000,4.2000000006782585,1058.0679931640625,Finance and business services
110,South Africa,2000,4.2000000006782585,2859.1669921875,Other services
111,South Africa,2009,-1.5380891352558308,14595.646484375,Total
112,South Africa,2009,-1.5380891352558308,739.856,Agriculture
113,South Africa,2009,-1.5380891352558308,346.832,Mining
114,South Africa,2009,-1.5380891352558308,2010.916,Manufacturing
115,South Africa,2009,-1.5380891352558308,106.72,Utilities
116,South Africa,2009,-1.5380891352558308,1221.306,Construction
117,South Africa,2009,-1.5380891352558308,3208.25,Trade services
118,South Africa,2009,-1.5380891352558308,821.027,Transport services
119,South Africa,2009,-1.5380891352558308,1915.467041015625,Finance and business services
120,South Africa,2009,-1.5380891352558308,4225.27197265625,Other services
121,South Africa,1991,-1.0182449675445042,9436.1015625,Total
122,South Africa,1991,-1.0182449675445042,1037.3091745504066,Agriculture
123,South Africa,1991,-1.0182449675445042,607.2623111231554,Mining
124,South Africa,1991,-1.0182449675445042,1623.6198563854075,Manufacturing
125,South Africa,1991,-1.0182449675445042,71.06369142492693,Utilities
126,South Africa,1991,-1.0182449675445042,507.8434540639142,Construction
127,South Africa,1991,-1.0182449675445042,2237.4028955532594,Trade services
128,South Africa,1991,-1.0182449675445042,509.81683240690296,Transport services
129,South Africa,1991,-1.0182449675445042,642.5104324003395,Finance and business services
130,South Africa,1991,-1.0182449675445042,2199.2733500341647,Other services
131,South Africa,1987,2.100729020536747,7764.2197265625,Total
132,South Africa,1987,2.100729020536747,1006.7676728284428,Agriculture
133,South Africa,1987,2.100729020536747,541.5058524856188,Mining
134,South Africa,1987,2.100729020536747,1498.2204093515884,Manufacturing
135,South Africa,1987,2.100729020536747,62.24049034083877,Utilities
136,South Africa,1987,2.100729020536747,490.1846760062908,Construction
137,South Africa,1987,2.100729020536747,1638.7044420736388,Trade services
138,South Africa,1987,2.100729020536747,423.37661728741216,Transport services
139,South Africa,1987,2.100729020536747,434.0288919878935,Finance and business services
140,South Africa,1987,2.100729020536747,1669.1908079358243,Other services
141,South Africa,1990,-0.3177604265403744,9024.0693359375,Total
142,South Africa,1990,-0.3177604265403744,1029.0643804476283,Agriculture
143,South Africa,1990,-0.3177604265403744,606.0347746139112,Mining
144,South Africa,1990,-0.3177604265403744,1613.0984412733842,Manufacturing
145,South Africa,1990,-0.3177604265403744,67.29088478889544,Utilities
146,South Africa,1990,-0.3177604265403744,523.1407776450646,Construction
147,South Africa,1990,-0.3177604265403744,2086.000966913084,Trade services
148,South Africa,1990,-0.3177604265403744,495.5035764396725,Transport services
149,South Africa,1990,-0.3177604265403744,594.8503356433372,Finance and business services
150,South Africa,1990,-0.3177604265403744,2009.084776828924,Other services
151,South Africa,1980,6.62058342724157,6387.1318359375,Total
152,South Africa,1980,6.62058342724157,912.9696282535834,Agriculture
153,South Africa,1980,6.62058342724157,476.96317380756057,Mining
154,South Africa,1980,6.62058342724157,1325.3179615826673,Manufacturing
155,South Africa,1980,6.62058342724157,43.57721381878292,Utilities
156,South Africa,1980,6.62058342724157,350.67785245933965,Construction
157,South Africa,1980,6.62058342724157,1332.481309602094,Trade services
158,South Africa,1980,6.62058342724157,346.60914380117424,Transport services
159,South Africa,1980,6.62058342724157,288.7621238256948,Finance and business services
160,South Africa,1980,6.62058342724157,1309.7732891779729,Other services
