REF_AREA_LABEL,TIME_PERIOD,GDP_Growth,Employment_Thousands,Sector
South Africa,1966,4.438386089468892,870.5381152265808,Sector: Manufacturing
South Africa,1966,4.438386089468892,23.38754947965197,Sector: Utilities
South Africa,1966,4.438386089468892,296.5190290317609,Sector: Construction
South Africa,1966,4.438386089468892,948.6326688851566,Sector: Trade services
South Africa,1966,4.438386089468892,245.3271812875017,Sector: Transport services
South Africa,1966,4.438386089468892,175.32253850244405,Sector: Finance and business services
South Africa,1966,4.438386089468892,934.75150307997,Sector: Other services
South Africa,1974,6.111122103721883,5894.05029296875,Sector: Total
South Africa,1974,6.111122103721883,1088.4364460506397,Sector: Agriculture
South Africa,1974,6.111122103721883,387.58377946619606,Sector: Mining
South Africa,1974,6.111122103721883,1084.1577196858718,Sector: Manufacturing
South Africa,1974,6.111122103721883,32.64671404671043,Sector: Utilities
South Africa,1974,6.111122103721883,478.15246963537777,Sector: Construction
South Africa,1974,6.111122103721883,1181.3275135779663,Sector: Trade services
South Africa,1974,6.111122103721883,310.5224530913422,Sector: Transport services
South Africa,1974,6.111122103721883,234.96215488273225,Sector: Finance and business services
South Africa,1974,6.111122103721883,1096.2611897976142,Sector: Other services
South Africa,1972,1.6548297088469894,5768.84130859375,Sector: Total
South Africa,1972,1.6548297088469894,1118.6742026240452,Sector: Agriculture
South Africa,1972,1.6548297088469894,392.5245668044325,Sector: Mining
South Africa,1972,1.6548297088469894,1038.2174592516262,Sector: Manufacturing
South Africa,1972,1.6548297088469894,31.143238968002752,Sector: Utilities
South Africa,1972,1.6548297088469894,390.2485135926301,Sector: Construction
South Africa,1972,1.6548297088469894,1176.3153121542637,Sector: Trade services
South Africa,1972,1.6548297088469894,301.1229473051946,Sector: Transport services
South Africa,1972,1.6548297088469894,228.7514508108626,Sector: Finance and business services
South Africa,1972,1.6548297088469894,1091.8437147158518,Sector: Other services
South Africa,1971,4.278934402969824,5701.13818359375,Sector: Total
South Africa,1971,4.278934402969824,1129.9241348987273,Sector: Agriculture
South Africa,1971,4.278934402969824,402.25025904301066,Sector: Mining
South Africa,1971,4.278934402969824,1014.01375660268,Sector: Manufacturing
South Africa,1971,4.278934402969824,30.251490772124185,Sector: Utilities
South Africa,1971,4.278934402969824,383.54081894170895,Sector: Construction
South Africa,1971,4.278934402969824,1141.3029355012309,Sector: Trade services
South Africa,1971,4.278934402969824,298.4160876357748,Sector: Transport services
South Africa,1971,4.278934402969824,216.53382362463617,Sector: Finance and business services
South Africa,1971,4.278934402969824,1084.904664005967,Sector: Other services
South Africa,1967,7.196523065141065,5273.88818359375,Sector: Total
South Africa,1967,7.196523065141065,1228.4156361668342,Sector: Agriculture
South Africa,1967,7.196523065141065,396.3478700315516,Sector: Mining
South Africa,1967,7.196523065141065,902.9974389017644,Sector: Manufacturing
South Africa,1967,7.196523065141065,24.0180168028734,Sector: Utilities
South Africa,1967,7.196523065141065,329.8127330266698,Sector: Construction
South Africa,1967,7.196523065141065,979.8600231290092,Sector: Trade services
South Africa,1967,7.196523065141065,253.9513683171301,Sector: Transport services
South Africa,1967,7.196523065141065,184.1354952994478,Sector: Finance and business services
South Africa,1967,7.196523065141065,974.3498436481852,Sector: Other services
South Africa,1964,7.939608644806768,4930.19775390625,Sector: Total
